presidente,partido,fase,ano_inicio,ano_fim,media_crescimento_pib_pct,media_inflacao_pct,media_desemprego_pct,media_selic_pct,media_cambio_brl_usd,media_divida_pib_pct,media_reservas_bi_usd,media_balanca_comercial_bi_usd,media_gini,media_idh,media_esperanca_vida,media_mort_infantil
Getúlio Vargas,sem partido,Revolução/Estado Novo,1930,1944,4.02,10.57,8.17,,,,,0.05,0.5,0.2084,38.54,151.4
José Linhares,sem partido,Transição,1945,1945,3.6,14.0,5.0,,,,,,0.5,0.232,42.0,135.0
Eurico Gaspar Dutra,PSD,República Democrática,1946,1950,7.64,11.96,5.2,,,,,0.3,0.5,0.2452,44.1,129.0
Getúlio Vargas,PTB,Democrático Eleito,1951,1953,6.1,15.17,4.77,,,,,,0.5,0.2636,46.9,121.0
Café Filho,PSP,Transição,1954,1955,8.3,19.05,4.65,,,,,,0.5,0.2756,48.65,116.0
Juscelino Kubitschek,PSD,Desenvolvimentismo,1956,1960,8.12,25.18,4.66,,,,0.43,-0.2,0.5,0.2942,51.5,122.32
João Goulart,PTB,Reformas de Base,1961,1963,5.27,59.67,4.77,,,,0.39,,0.5136,0.317,54.02,120.93
Castelo Branco,ARENA,Ditadura Militar,1964,1966,4.17,66.27,5.6,,,,0.39,,0.534,0.3352,55.24,113.03
Costa e Silva,ARENA,Ditadura Militar,1967,1968,7.0,26.2,5.4,,,,0.23,,0.551,0.3515,56.24,107.45
Emílio Médici,ARENA,Milagre Econômico,1969,1973,11.43,18.2,4.2,,,,2.87,-0.1,0.5776,0.3744,57.79,100.02
Ernesto Geisel,ARENA,Ditadura Militar,1974,1978,6.7,37.96,3.96,,,,7.19,-4.9,0.6109,0.4098,60.01,88.24
João Figueiredo,PDS,Abertura,1979,1984,2.5,119.47,6.3,,,,7.45,-2.9,0.586,0.4581,62.47,72.13
José Sarney,PMDB,Nova República,1985,1989,4.39,532.26,5.96,1039.5,0.0,,9.35,11.3,0.5962,0.5014,64.77,58.1
Fernando Collor,PRN,Nova República,1990,1991,-1.66,1690.26,7.19,761.0,0.0003,38.0,9.69,8.9,0.5865,0.5267,66.03,50.85
Itamar Franco,PMDB,Nova República,1992,1994,3.41,1651.74,6.57,1770.33,0.323,38.67,31.6,,0.5767,0.5452,66.91,44.9
Fernando H. Cardoso,PSDB,Plano Real,1995,2002,2.43,14.88,9.7,26.75,1.6349,44.63,43.97,-1.3,0.5911,0.5949,69.04,32.35
Lula (1º e 2º mandato),PT,Crescimento Social,2003,2010,4.08,6.45,9.61,14.99,2.2684,60.0,142.89,32.55,0.5524,0.6575,72.43,19.5
Dilma Rousseff,PT,Crise/Impeachment,2011,2015,1.17,6.72,7.44,10.9,2.2944,62.9,360.8,13.52,0.526,0.728,74.58,14.44
Michel Temer,MDB,Austeridade,2016,2018,-0.06,5.28,12.23,9.1,3.4437,73.73,371.22,57.67,0.5353,0.759,75.37,13.67
Jair Bolsonaro,PL,Nova República,2019,2022,1.43,6.13,12.01,7.72,4.9757,79.6,349.85,56.0,0.5178,0.7582,74.56,12.75
Lula (3º mandato),PT,Nova República,2023,2024,3.33,4.48,7.37,11.5,5.062,76.15,342.38,86.7,0.509,0.764,75.94,12.35
